Time,TWE_set,TEI,TWEI,TEO,TWEO,TCI,TWCI,TCO,TWCO,TSI,TSO,TBI,TBO,Cond Tons,Cooling Tons,Shared Cond Tons,Cond Energy Balance,Evap Tons,Shared Evap Tons,Building Tons,Evap Energy Balance,kW,COP,kW/Ton,FWC,FWE,TEA,TCA,TRE,PRE,TRC,PRC,TRC_sub,T_suc,Tsh_suc,TR_dis,Tsh_dis,P_lift,Amps,RLA%,Heat Balance,Heat Balance%,Tolerance%,Unit Status,Active Fault,TO_sump,TO_feed,PO_feed,PO_net,TWCD,TWED,VSS,VSL,VH,VM,VC,VE,VW,TWI,TWO,THI,THO,FWW,FWH,FWB,TEI-TEO,TCO-TCI,fault level,Label,Condition block
3.575,50,62.28,62.3,63.2,63.1,64.28,64.2,65.14,65,66.18,67.78,64.75,65.76,1.38e-46,1.67e-46,2.58e-46,5.63e-46,1.1999999999999999e-46,2e-46,1.31e-46,4.5e-46,1.68e-45,4.21e-46,1.68e-45,3.87e-45,3.1e-45,0.3,0,63,61.5,63.1,61.6,0,80.8,17.8,71.1,8,0,0,0,0,0,23.27,1,29,103.7,85.3,57.1,0,1,0,0,0,100,100,57,56,0,65.23,70.15,67.01,71.33,8.15e-46,7.26e-46,8.76e-46,-0.92,0.8599999999999994,Normal,100,1
23.57,50,62.24,63.3,63.16,63.3,64.32,65.3,65.1,64.7,66.14,67.82,64.75,65.76,5.29,7.071,11.47,23.83,5.175,8.861,5.659,19.69,1.68e-45,18.2,3.25e-46,163.6,134,0.3,0.5,63,61.5,65.2,64.6,0,80.8,17.8,71.1,5.9,3.1,0,0,-0.4048,-2.176,23.27,1,29,103.3,85.3,56.6,0,0,0,0,0,100,100,57,56,30,65.27,70.15,67.87,70.96,34.74,43.89,37.2,-0.92,0.7800000000000011,Normal,100,2
33.57,50,62.52,64.8,63.25,63.7,64.57,65.1,65.1,65.4,66.14,67.49,64.71,65.64,5.547,10.85,14.17,30.56,6.132,12.43,7.909,26.47,1.68e-45,21.56,2.74e-46,251,203.7,0,0,64.7,63.8,64.5,63.6,0,81.2,16.7,71.1,6.6,0.5,0,0,2.057,10.55,23.27,6,0,103.1,85.3,59.1,0,0.4,0.9,0,0,100,100,57,56,30,65.27,69.95,68.4,68.87,55.63,189.8,30.77,-0.73,0.5300000000000011,Normal,100,2
43.57,50,63.01,64.4,63.49,64.7,64.69,64.5,65.14,64.7,65.89,66.75,64.55,65.31,4.873,8.157,9.385,22.42,4.236,9.377,6.825,20.44,1.68e-45,14.89,3.97e-46,260.8,213.3,0.6,0,63.9,62.7,64.1,63.1,0,81.3,17.6,70.9,7,0.9,0,0,-2.241,-13.08,23.27,6,0,102.8,85.3,58.6,0,0,0,0,0,100,100,57,56,30,65.39,69.01,67.01,67.73,54.15,163.8,35.75,-0.48,0.4500000000000028,Normal,100,2
53.58,50,63.38,64.4,63.78,64.2,64.77,65,65.1,65,65.77,66.18,64.42,65.11,3.626,7.446,4.6,15.67,3.531,5.775,6.138,15.44,1.68e-45,12.42,4.76e-46,267.2,214.7,0.1,0,63.9,62.7,64.9,64.1,0,81.5,17.3,70.9,6,0.9,0,0,-0.3331,-2.613,23.27,6,0,102.8,85.4,58.1,0,0,0.4,0,0,100,100,57,56,30,65.15,68.02,66.6,66.99,62.09,147.3,128.6,-0.4,0.3299999999999983,Normal,100,2
63.57,50,63.59,65,63.86,64.4,64.86,65,65.1,65,65.6,65.94,64.42,65.07,2.735,5.666,3.718,12.12,2.43,5.039,5.768,13.24,1.68e-45,8.545,6.92e-46,269.3,214.6,0,0,64.5,63.6,64.1,63.1,0,81.7,17,70.9,7,0.5,0,0,-1.073,-11.15,23.27,6,0,102.5,85.4,59.1,0,0.2,0.6,0,0,100,100,57,56,30,64.82,67.37,66.11,66.5,53.32,138.4,148.4,-0.27,0.2399999999999948,Normal,100,2
73.57,50,63.92,65.1,64.06,64.7,64.81,64.8,65.1,64.7,65.4,65.57,64.5,65.07,3.206,3.38,1.886,8.472,1.332,3.942,5.036,10.31,1.68e-45,4.683,1.26e-45,270.2,214.6,0.4,0,64.4,63.5,64.5,63.6,0,81.8,17.4,70.9,6.4,0,0,0,-6.59,-58.46,23.27,6,0,102.5,85.4,59.1,0,0,0.3,0,0,100,100,57,56,30,64.49,66.67,65.98,66.17,37.18,120.9,175.6,-0.14,0.289999999999992,Normal,100,2
83.58,50,64.16,65,64.27,64.8,64.9,65,65.06,64.8,65.36,65.36,64.55,65.07,1.82,3.374,0.04219,5.236,0.9714,2.49,4.693,8.154,1.68e-45,3.415,1.68e-45,269.7,215.7,0.3,0,64.4,63.5,64.1,63.1,0,81.8,17.4,71.1,6.4,0,0,0,-2.882,-45.05,23.27,6,0,102.5,85.3,59.1,0,0,0.3,0,0,100,100,57,56,30,64.29,66.1,65.78,65.97,44.65,112.6,210,-0.11,0.1599999999999966,Normal,100,2
93.58,50,64.37,65,64.43,64.8,64.9,64.8,65.06,64.8,65.28,65.24,64.63,65.07,1.82,2.453,0.4167,3.856,0.5995,1.743,3.932,6.275,1.68e-45,2.108,1.68e-45,269.7,214.3,0,0,64.8,63.8,64.9,64.1,0,81.8,17.3,70.9,6.2,0,0,0,-2.883,-45.05,23.27,6,0,102.5,85.3,59.1,0,0,0.3,0,0,100,100,57,56,30,64.16,65.73,65.62,65.8,37.55,94.38,227.9,-0.06,0.1599999999999966,Normal,100,2
103.6,50,64.49,65.1,64.6,64.8,64.9,64.8,65.02,64.8,65.2,65.16,64.71,65.11,1.363,1.999,0.4185,2.943,0.9617,1.008,3.554,5.523,1.68e-45,3.381,1.68e-45,270.4,213.5,0.5,0.1,64.5,63.6,64.9,64.1,0,82,17.5,71.1,6.2,0.3,0,0,-1.277,-26.64,23.27,6,0,102.3,85.3,59.1,0,0,0.5,0,0,100,100,57,56,30,64.08,65.45,65.66,65.72,35.19,85.29,246.3,-0.11,0.1199999999999903,Normal,100,2
